RPM,MAP,FGP,MAF
1275,95,32980,16.55
1227,94,31400,15.81
1180.25,93,30910,15.28
1169.5,93,30660,15.09
1123.5,92,29610,13.97
1101.25,91,28750,14.03
975.75,91,26070,11.47
906.75,89,25150,10.75
909.5,88,26270,10.61
913.75,88,25680,10.66
916.25,87,24040,10.85
912.5,87,24290,10.82
921.25,87,26460,10.91
917.75,87,24040,10.8
921.75,87,25580,10.83
922.75,87,30100,10.93
1232.25,87,35960,15.41
1313.25,91,35250,17.14
1367.25,93,36890,18.1
1464.5,96,37810,19.97
1532.5,98,39330,21.01
1577.25,100,39600,21.46
1610.75,102,40340,22.2
1639.75,103,40250,22.08
1661.5,104,40090,22.86
1686.25,105,41850,23.4
1716,106,41410,24.15
1748,107,42820,24.62
1770.5,108,42550,24.53
1783.5,109,43260,24.99
1794.5,109,44120,25.34
1794,110,42870,25.25
1784.5,109,42160,25.15
1783,109,42380,25.15
1792.75,109,43280,25.25
1803.5,109,44260,25.1
1837.75,110,45720,26.36
1866,112,46230,27.22
1891.25,114,47580,28.52
1902.75,115,47750,27.87
1913.25,116,47450,28.09
1922.75,116,48090,28.65
1923.75,117,48370,28.78
1925.25,117,47480,29.14
1928,117,48150,28.62
1947,118,48820,28.9
1953.25,118,49950,29.7
1965.75,119,49950,30.05
1979.5,120,49680,29.84
1992,121,50990,31.11
2004.25,121,51170,30.86
2008.25,122,51420,30.44
2009.5,122,51420,31.42
2018.75,122,51210,31.27
2023,123,51420,31.95
2024.75,123,51540,31.32
2036.5,123,54590,31.94
2096,124,55270,32.52
2125,126,55620,34.47
2143.75,127,55510,34.8
2156.25,128,56510,34.32
2175.75,129,57030,34.75
2181.25,130,56850,35.98
2190.25,130,58330,36.07
2208.5,131,58560,35.98
2232.75,132,60450,36.21
2283.5,134,61830,38.24
2310.25,136,62000,38.97
2323.75,137,62090,38.95
2409,130,66330,36.34
2561.5,116,61250,35.87
2562,115,60780,37.12
2563.75,114,60270,36.98
2566.25,113,60020,36.6
2566.5,112,59780,36
2568.5,111,59760,34.87
2568.75,110,59810,36.02
2569,109,59740,34.29
2571,109,59690,34.88
2569.5,108,59620,34.88
2571,108,59310,35.17
2572.25,108,59250,34.61
2571.5,107,59440,34.33
2568.75,107,58540,33.43
2549.5,107,57490,32.84
2528,106,57130,33.95
2511.25,106,56670,33.87
2488,107,56300,32.85
2468.25,107,56000,33.67
2456,107,55610,33.34
2441,107,55470,32.43
2418.5,107,54870,32.93
2402.5,106,54280,32.67
2386.25,106,54170,31.95
2371,106,53610,31.13
2356.75,106,53310,31.77
2341.75,106,52950,31.12
2327.75,106,52220,30.13
2209.5,113,49190,32.26
2116,116,48180,31.3
2083,116,47670,30.57
2051.5,117,47410,30.22
2030.75,117,47140,30.35
2025.75,116,49380,29.65
2034.25,118,50830,31.03
2050.25,120,54590,31.01
2133,123,57060,33.28
2196.75,127,58740,35.21
2230.5,129,58940,35.39
2242.5,131,59050,35.95
2240.75,132,54350,36.24
2147.25,130,51970,33.87
2085.75,128,52240,33.63
2105.25,127,57810,32.95
2203.5,129,60490,35.74
2187.25,130,52090,35.36
2106,128,50870,33.74
2063.75,126,49920,31.75
2046,123,49710,30.64
